股票代码,股票简称,现价(元),涨跌幅(%)
300517.SZ,海波重科,32.02,-2.62
300396.SZ,迪瑞医疗,32.01,-2.74
002861.SZ,瀛通通讯,31.95,-9.29
300542.SZ,新晨科技,31.95,-7.23
600085.SH,同仁堂,31.94,0.79
300474.SZ,景嘉微,31.91,-2.42
002813.SZ,路畅科技,31.89,-8.10
600265.SH,ST景谷,31.89,-3.01
002809.SZ,红墙股份,31.86,-8.45
002599.SZ,盛通股份,31.82,-1.12
601689.SH,拓普集团,31.82,0.22
002602.SZ,世纪华通,31.80,-0.94
603520.SH,司太立,31.71,-3.06
603303.SH,得邦照明,31.70,-5.29
603806.SH,福斯特,31.70,-3.00
300562.SZ,乐心医疗,31.63,-8.58
002824.SZ,和胜股份,31.58,-6.65
002271.SZ,东方雨虹,31.55,1.77
300377.SZ,赢时胜,31.50,-4.23
603090.SH,宏盛股份,31.50,-5.55
300622.SZ,博士眼镜,31.47,-8.01
603133.SH,碳元科技,31.47,-3.56
603577.SH,汇金通,31.46,-8.44
000923.SZ,河北宣工,31.45,-4.78
300541.SZ,先进数通,31.45,-7.26
603089.SH,正裕工业,31.36,-6.58
002517.SZ,恺英网络,31.30,-0.95
603018.SH,中设集团,31.30,-2.98
603313.SH,梦百合,31.28,-4.78
603139.SH,康惠制药,31.24,-5.96
600340.SH,华夏幸福,31.17,-4.74
002792.SZ,通宇通讯,31.16,-3.89
603633.SH,徕木股份,31.16,-2.35
300442.SZ,普丽盛,31.15,-3.65
603900.SH,通灵珠宝,31.11,-5.35
300529.SZ,健帆生物,31.10,-5.70
600196.SH,复星医药,31.06,1.27
000605.SZ,渤海股份,31.00,-6.03
002294.SZ,信立泰,30.94,1.18
603360.SH,百傲化学,30.93,-5.79
300491.SZ,通合科技,30.92,-9.80
002719.SZ,麦趣尔,30.90,-3.68
002778.SZ,高科石化,30.88,-2.16
300586.SZ,美联新材,30.80,-5.58
603638.SH,艾迪精密,30.78,-2.01
002828.SZ,贝肯能源,30.70,-6.52
300451.SZ,创业软件,30.70,-2.23
002205.SZ,国统股份,30.66,-1.83
300174.SZ,元力股份,30.63,-2.82
002737.SZ,葵花药业,30.62,-2.02
300428.SZ,四通新材,30.59,-9.84
600764.SH,中电广通,30.58,-0.46
603385.SH,惠达卫浴,30.49,9.99
300145.SZ,中金环境,30.48,0.99
300191.SZ,潜能恒信,30.41,5.37
000999.SZ,华润三九,30.39,1.61
300385.SZ,雪浪环境,30.25,-5.53
603041.SH,美思德,30.15,-4.50
002760.SZ,凤形股份,30.11,-1.28
002829.SZ,星网宇达,30.10,-7.67
300511.SZ,雪榕生物,30.08,-4.33
600547.SH,山东黄金,30.05,-0.83
300349.SZ,金卡智能,30.02,1.97
603388.SH,元成股份,30.01,-5.93
603538.SH,美诺华,30.01,-6.69
603421.SH,鼎信通讯,29.99,-3.66
300236.SZ,上海新阳,29.96,-5.70
603029.SH,天鹅股份,29.92,-4.90
002742.SZ,三圣股份,29.90,-1.52
002746.SZ,仙坛股份,29.87,-1.06
002268.SZ,卫士通,29.79,-3.31
300280.SZ,南通锻压,29.79,-0.63
603005.SH,晶方科技,29.70,-0.87
600699.SH,均胜电子,29.56,-1.96
600809.SH,山西汾酒,29.53,-3.18
002865.SZ,钧达股份,29.50,-8.98
002230.SZ,科大讯飞,29.40,0.17
600315.SH,上海家化,29.36,-0.07
603306.SH,华懋科技,29.34,-2.04
300319.SZ,麦捷科技,29.31,-5.36
603939.SH,益丰药房,29.31,1.24
300514.SZ,友讯达,29.30,-7.80
603918.SH,金桥信息,29.29,0.58
300275.SZ,梅安森,29.24,-1.81
603877.SH,太平鸟,29.21,-2.50
002795.SZ,永和智控,29.18,-6.38
300137.SZ,先河环保,29.17,-5.60
002873.SZ,新天药业,29.16,10.00
002475.SZ,立讯精密,29.14,3.19
603896.SH,寿仙谷,29.14,-10.01
603808.SH,歌力思,29.10,-0.89
603701.SH,德宏股份,29.05,-7.34
002657.SZ,中科金财,29.04,-3.59
300582.SZ,英飞特,29.03,-7.02
603663.SH,三祥新材,29.00,-6.75
300113.SZ,顺网科技,28.96,1.86
603328.SH,依顿电子,28.95,-3.76
002370.SZ,亚太药业,28.94,-0.28
300452.SZ,山河药辅,28.91,-5.24
603060.SH,国检集团,28.90,-3.89
300244.SZ,迪安诊断,28.84,-3.74
600593.SH,大连圣亚,28.80,-1.74
600104.SH,上汽集团,28.79,1.09
300416.SZ,苏试试验,28.75,-1.34
